https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume EUR,tradecount
1608465600,2020-12-20 12:00:00,LINK/EUR,10.93247,10.94132,10.80000,10.86293,10.85897,1146.92066839,12458.918936273783,60
1608462000,2020-12-20 11:00:00,LINK/EUR,10.93565,10.97154,10.90917,10.94500,10.94095,3316.99929558,36304.5572901231,50
1608458400,2020-12-20 10:00:00,LINK/EUR,11.07787,11.08592,10.91296,10.91296,11.00832,3392.03000439,37017.08775670789,91
1608454800,2020-12-20 09:00:00,LINK/EUR,10.95920,11.15000,10.95834,11.07681,11.03762,5326.06837265,58995.84741085325,108
1608451200,2020-12-20 08:00:00,LINK/EUR,10.96372,10.98629,10.90763,10.95318,10.93156,10667.86729546,116847.07070328656,118
1608447600,2020-12-20 07:00:00,LINK/EUR,10.84726,10.96298,10.80363,10.95872,10.87451,2997.64724141,32850.37677738459,42
1608444000,2020-12-20 06:00:00,LINK/EUR,10.87130,10.87130,10.84406,10.85987,10.86461,933.81847763,10141.147270659709,21
1608440400,2020-12-20 05:00:00,LINK/EUR,10.85119,10.90100,10.84076,10.88910,10.87695,11565.62899649,125939.29070567926,63
1608436800,2020-12-20 04:00:00,LINK/EUR,10.77816,10.82244,10.69190,10.81880,10.75224,1508.86606506,16324.120184671126,59
1608433200,2020-12-20 03:00:00,LINK/EUR,10.81372,10.89444,10.75666,10.82364,10.84547,4437.75671185,48032.68105664813,80
1608429600,2020-12-20 02:00:00,LINK/EUR,10.85684,10.90314,10.80796,10.80796,10.82997,4270.11361715,46151.217169612515,49
1608426000,2020-12-20 01:00:00,LINK/EUR,10.90005,10.91155,10.84233,10.85069,10.86333,327.69182864,3555.6824481057615,24
1608422400,2020-12-20 00:00:00,LINK/EUR,10.96099,10.96220,10.80986,10.85539,10.85907,6526.99123873,70853.03542299726,111
1608418800,2020-12-19 23:00:00,LINK/EUR,11.07555,11.07555,10.89532,10.96529,10.96076,8664.62618671,95010.1388788693,123
1608415200,2020-12-19 22:00:00,LINK/EUR,11.12000,11.14140,11.07192,11.09280,11.11042,2898.52375637,32152.744324661136,73
1608411600,2020-12-19 21:00:00,LINK/EUR,11.10158,11.16319,11.07303,11.16319,11.12391,2047.38586522,22855.35741676525,64
1608408000,2020-12-19 20:00:00,LINK/EUR,11.05780,11.12465,11.05283,11.11800,11.10149,5394.69259952,59978.192321463364,81
1608404400,2020-12-19 19:00:00,LINK/EUR,11.09024,11.11242,11.03590,11.06942,11.06602,2069.49164567,22908.072212412408,84
1608400800,2020-12-19 18:00:00,LINK/EUR,11.22729,11.22729,11.00019,11.08681,11.08944,5982.07441694,66322.12246647457,138
1608397200,2020-12-19 17:00:00,LINK/EUR,11.28331,11.28796,11.22865,11.24551,11.25757,2745.64857767,30876.21853667376,74
1608393600,2020-12-19 16:00:00,LINK/EUR,11.26982,11.31763,11.21110,11.27493,11.24022,3548.00678403,40003.52812946336,63
1608390000,2020-12-19 15:00:00,LINK/EUR,11.22696,11.24372,11.13393,11.22835,11.19958,8906.03139864,100000.03765491945,120
1608386400,2020-12-19 14:00:00,LINK/EUR,11.27000,11.32795,11.14424,11.21907,11.22965,4296.06707158,48197.87720075103,101
1608382800,2020-12-19 13:00:00,LINK/EUR,11.31962,11.34136,11.27000,11.27356,11.28327,2648.23910578,29855.082453357176,39
1608379200,2020-12-19 12:00:00,LINK/EUR,11.29841,11.38000,11.28607,11.34061,11.32378,3140.82846805,35618.91073305251,65
1608375600,2020-12-19 11:00:00,LINK/EUR,11.24000,11.25468,11.21579,11.24368,11.23386,529.15643659,5949.665642958251,28
1608372000,2020-12-19 10:00:00,LINK/EUR,11.25000,11.33735,11.23106,11.24699,11.27564,5993.44708207,67408.23939757048,87
1608368400,2020-12-19 09:00:00,LINK/EUR,11.21164,11.24111,11.17688,11.21035,11.21755,1079.71277741,12103.958134238193,39
1608364800,2020-12-19 08:00:00,LINK/EUR,11.07900,11.21121,11.07800,11.19738,11.13509,2569.96227554,28776.84418488609,57
1608361200,2020-12-19 07:00:00,LINK/EUR,11.13914,11.14417,11.08973,11.08973,11.13904,1699.39559090,18845.838266271454,28
1608357600,2020-12-19 06:00:00,LINK/EUR,11.19000,11.20111,11.15859,11.15859,11.18601,682.37087626,7614.296836126074,16
