https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume ETH,Volume EUR,tradecount
1599523200,2020-09-08 00:00:00,ETH/EUR,299.64,302.37,277.46,286.89,288.00,70889.52089844,20337494.65055345,15477
1599436800,2020-09-07 00:00:00,ETH/EUR,298.71,303.30,273.22,299.15,288.84,89497.79347488,26773264.91801035,17508
1599350400,2020-09-06 00:00:00,ETH/EUR,283.57,304.76,268.00,298.55,292.73,75809.91995620,22633051.602923512,16507
1599264000,2020-09-05 00:00:00,ETH/EUR,326.51,333.87,262.35,283.35,290.24,172872.86514115,48983526.337744854,35215
1599177600,2020-09-04 00:00:00,ETH/EUR,323.60,339.45,305.33,326.76,326.44,120815.83707827,39477782.923695505,25370
1599091200,2020-09-03 00:00:00,ETH/EUR,371.88,380.83,315.11,323.49,346.51,156599.95682215,50658520.03239731,31359
1599004800,2020-09-02 00:00:00,ETH/EUR,398.81,404.55,356.66,372.30,376.33,135808.10305984,50561356.769178435,27940
1598918400,2020-09-01 00:00:00,ETH/EUR,364.21,409.85,360.23,399.36,392.50,118742.51095246,47421009.173974425,28451
1598832000,2020-08-31 00:00:00,ETH/EUR,359.88,368.40,352.16,364.36,362.48,48508.26285465,17674470.653720275,12402
1598745600,2020-08-30 00:00:00,ETH/EUR,335.78,361.00,335.70,360.10,351.38,40822.08004618,14700031.02462942,10984
1598659200,2020-08-29 00:00:00,ETH/EUR,332.70,341.54,330.25,335.68,337.57,24018.32447614,8062471.160150675,9623
1598572800,2020-08-28 00:00:00,ETH/EUR,324.76,335.00,322.27,332.71,329.99,31653.24156625,10531350.001507036,12260
1598486400,2020-08-27 00:00:00,ETH/EUR,326.03,335.18,315.51,324.73,325.29,45901.87557392,14905716.055119041,14778
1598400000,2020-08-26 00:00:00,ETH/EUR,324.38,333.57,320.02,326.06,326.84,44416.32616220,14482387.308446933,14616
1598313600,2020-08-25 00:00:00,ETH/EUR,346.03,347.15,313.63,324.38,326.24,70041.16026392,22719951.56641037,21509
1598227200,2020-08-24 00:00:00,ETH/EUR,331.81,348.13,328.46,346.11,340.35,43632.13052703,15101516.696710354,14487
1598140800,2020-08-23 00:00:00,ETH/EUR,336.15,337.12,325.79,331.98,331.71,21882.64351692,7264599.994747102,9652
1598054400,2020-08-22 00:00:00,ETH/EUR,329.73,337.15,323.60,336.15,330.34,36484.13465553,12264141.864456408,14037
1597968000,2020-08-21 00:00:00,ETH/EUR,351.13,353.31,327.48,329.76,341.32,57886.26175380,19088573.675933085,19835
1597881600,2020-08-20 00:00:00,ETH/EUR,344.90,354.74,341.01,351.14,348.59,31197.35526284,10954639.326993637,12678
1597795200,2020-08-19 00:00:00,ETH/EUR,354.13,357.47,333.59,344.65,343.36,77111.04354583,26576321.15807031,21422
1597708800,2020-08-18 00:00:00,ETH/EUR,363.21,365.81,348.88,354.14,357.96,54660.80360924,19357576.990176253,19376
1597622400,2020-08-17 00:00:00,ETH/EUR,366.20,390.00,355.13,363.22,366.73,69527.83396262,25253899.85190284,21571
1597536000,2020-08-16 00:00:00,ETH/EUR,365.66,369.37,348.06,366.06,360.15,45648.29813776,16710016.016308427,16936
1597449600,2020-08-15 00:00:00,ETH/EUR,370.89,374.06,354.32,365.43,367.40,46407.70436131,16958767.404753514,14924
1597363200,2020-08-14 00:00:00,ETH/EUR,359.51,376.69,353.57,370.90,365.05,85015.61430945,31532291.347375,22195
1597276800,2020-08-13 00:00:00,ETH/EUR,328.96,365.44,319.04,359.53,342.24,92320.70772624,33192064.048815064,26006
