https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume EUR,tradecount
1601078400,2020-09-26 00:00:00,LINK/EUR,9.20870,9.20870,9.20870,9.20870,0.00000,0.00000000,0.0,0
1600992000,2020-09-25 00:00:00,LINK/EUR,8.44753,9.64624,8.06894,9.20870,8.79292,665494.59445277,6128340.071937223,6158
1600905600,2020-09-24 00:00:00,LINK/EUR,6.56508,8.92571,6.44546,8.45663,8.04165,673607.48304268,5696449.249323219,7129
1600819200,2020-09-23 00:00:00,LINK/EUR,7.47208,7.54225,6.29000,6.54028,6.92259,421011.10447749,2753530.5063920384,4953
1600732800,2020-09-22 00:00:00,LINK/EUR,7.42079,7.72278,7.30142,7.47502,7.52333,178277.79003040,1332630.0460330406,2226
1600646400,2020-09-21 00:00:00,LINK/EUR,8.23698,8.37262,7.23004,7.40683,7.55814,721060.83398698,5340775.016999783,5972
1600560000,2020-09-20 00:00:00,LINK/EUR,8.55115,8.97853,7.95160,8.21350,8.36605,183858.17289729,1510119.1030918914,2094
1600473600,2020-09-19 00:00:00,LINK/EUR,8.53685,8.88544,8.36668,8.56716,8.62893,82501.66079911,706804.9283317032,1274
1600387200,2020-09-18 00:00:00,LINK/EUR,9.30483,9.40002,8.29362,8.53845,8.74369,186607.87781784,1593342.0343537359,2470
1600300800,2020-09-17 00:00:00,LINK/EUR,9.11450,9.90000,8.94216,9.30677,9.26336,255836.89776495,2381015.1650119037,2671
1600214400,2020-09-16 00:00:00,LINK/EUR,9.27022,9.53998,8.89001,9.10620,9.20962,222847.09901590,2029290.2530585884,2607
1600128000,2020-09-15 00:00:00,LINK/EUR,10.25278,10.32422,9.10001,9.27400,9.79701,296852.71683924,2753012.0959671116,2974
1600041600,2020-09-14 00:00:00,LINK/EUR,10.21065,10.45000,9.85357,10.22000,10.11946,233980.64282632,2391282.1696849903,2345
1599955200,2020-09-13 00:00:00,LINK/EUR,10.74848,11.20000,9.99136,10.20470,10.54872,236065.21796320,2408974.729749067,2577
1599868800,2020-09-12 00:00:00,LINK/EUR,10.53733,10.77688,10.27000,10.74631,10.54632,102092.90309228,1097121.9854295994,1208
1599782400,2020-09-11 00:00:00,LINK/EUR,10.60897,10.74000,10.19135,10.53986,10.44941,159856.48928945,1684865.0172023023,1878
1599696000,2020-09-10 00:00:00,LINK/EUR,10.47638,11.23010,10.34495,10.62953,10.81343,263726.48596340,2803288.594342539,3039
1599609600,2020-09-09 00:00:00,LINK/EUR,10.00077,10.72554,9.73917,10.48979,10.44947,193236.94493305,2027014.9725892583,2703
1599523200,2020-09-08 00:00:00,LINK/EUR,10.57503,10.76000,9.47004,9.98852,10.05631,420326.81078705,4198442.756082664,4246
1599436800,2020-09-07 00:00:00,LINK/EUR,10.82213,11.10059,9.46798,10.51383,10.29941,573222.41084394,6026762.979803341,6890
1599350400,2020-09-06 00:00:00,LINK/EUR,8.96741,11.19297,8.25000,10.83901,10.04308,625937.17078286,6784539.253487128,6737
1599264000,2020-09-05 00:00:00,LINK/EUR,10.52086,10.80975,7.80000,8.98219,9.08754,831953.61716453,7472765.460559069,8921
1599177600,2020-09-04 00:00:00,LINK/EUR,10.09651,10.95004,9.33004,10.53345,10.27830,619028.57818443,6520506.576876785,7508
1599091200,2020-09-03 00:00:00,LINK/EUR,12.53835,12.68000,9.33552,10.11151,11.22908,562454.44254426,5687263.7203307105,7585
1599004800,2020-09-02 00:00:00,LINK/EUR,13.47393,13.70000,11.90491,12.49448,12.59806,315802.24858609,3945784.8789139297,3752
1598918400,2020-09-01 00:00:00,LINK/EUR,13.08497,13.78455,12.66527,13.47265,13.40151,331257.66161980,4462918.534821998,3482
1598832000,2020-08-31 00:00:00,LINK/EUR,13.82411,14.23980,13.00263,13.03167,13.68769,253264.84065435,3300463.8260100735,3337
1598745600,2020-08-30 00:00:00,LINK/EUR,13.77145,14.95000,13.76140,13.85831,14.43135,353574.82159783,4899949.485897423,5171
1598659200,2020-08-29 00:00:00,LINK/EUR,12.73633,14.33857,12.60940,13.79374,13.64496,453856.14471492,6260373.657599981,5727
1598572800,2020-08-28 00:00:00,LINK/EUR,12.29839,13.04000,12.09276,12.72529,12.68254,131363.45014849,1671637.998540078,2213
