https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume ETH,Volume EUR,tradecount
1608343200,2020-12-19 02:00:00,ETH/EUR,529.80,535.91,529.03,535.54,532.21,1094.19698603,585986.2538985062,395
1608339600,2020-12-19 01:00:00,ETH/EUR,529.41,530.06,527.06,529.84,529.05,331.59416960,175691.854820864,159
1608336000,2020-12-19 00:00:00,ETH/EUR,533.51,534.37,528.14,529.81,531.05,734.53360209,389163.24772330286,318
1608332400,2020-12-18 23:00:00,ETH/EUR,531.15,534.00,529.09,533.55,532.18,811.12230165,432774.3040453575,358
1608328800,2020-12-18 22:00:00,ETH/EUR,530.36,532.00,526.80,531.16,530.25,843.16147336,447853.64818989753,491
1608325200,2020-12-18 21:00:00,ETH/EUR,529.68,533.44,529.68,530.31,531.50,1635.66277340,867408.3253617539,672
1608321600,2020-12-18 20:00:00,ETH/EUR,526.14,529.68,525.52,529.68,527.29,464.00469766,245774.00825654875,435
1608318000,2020-12-18 19:00:00,ETH/EUR,527.21,527.30,523.26,526.13,525.43,612.65649158,322336.9599149854,324
1608314400,2020-12-18 18:00:00,ETH/EUR,528.40,528.76,525.65,527.21,527.16,645.84635511,340496.65687754314,360
1608310800,2020-12-18 17:00:00,ETH/EUR,525.52,529.20,524.50,527.85,526.51,815.11323387,430257.52049827954,510
1608307200,2020-12-18 16:00:00,ETH/EUR,521.01,526.79,518.22,524.86,523.58,1409.67459888,739881.8099681569,677
1608303600,2020-12-18 15:00:00,ETH/EUR,522.16,522.69,516.81,521.01,519.81,2162.16474344,1126509.4529796746,850
1608300000,2020-12-18 14:00:00,ETH/EUR,520.99,523.86,516.04,522.16,520.83,2910.15799498,1519568.0986587566,1167
1608296400,2020-12-18 13:00:00,ETH/EUR,530.63,531.00,520.79,520.95,526.61,1346.90617342,701670.771043149,813
1608292800,2020-12-18 12:00:00,ETH/EUR,530.72,533.61,525.99,530.47,530.76,2103.16121085,1115663.9275195994,704
1608289200,2020-12-18 11:00:00,ETH/EUR,533.08,533.18,527.11,530.68,530.80,3897.50440731,2068327.6388712705,1020
1608285600,2020-12-18 10:00:00,ETH/EUR,539.80,541.56,532.27,533.40,536.67,5315.12877730,2835089.68981182,1631
1608282000,2020-12-18 09:00:00,ETH/EUR,531.10,539.80,528.34,539.80,533.03,2596.35724922,1401513.643128956,1163
1608278400,2020-12-18 08:00:00,ETH/EUR,526.10,532.24,523.86,531.10,530.55,1736.34673359,922173.750209649,699
1608274800,2020-12-18 07:00:00,ETH/EUR,526.06,526.11,523.81,526.06,525.31,650.25640088,342073.8822469328,435
1608271200,2020-12-18 06:00:00,ETH/EUR,527.74,529.63,526.02,526.20,528.44,803.34217832,422718.65423198405,343
1608267600,2020-12-18 05:00:00,ETH/EUR,524.71,528.46,524.71,527.51,527.02,376.94256266,198840.97122877662,174
1608264000,2020-12-18 04:00:00,ETH/EUR,525.09,527.55,523.07,524.46,525.46,338.69768264,177633.3866373744,193
1608260400,2020-12-18 03:00:00,ETH/EUR,531.23,531.23,524.27,525.09,527.46,269.18271589,141345.1522866801,163
1608256800,2020-12-18 02:00:00,ETH/EUR,526.21,533.94,525.75,531.40,531.29,1045.23552490,555438.15793186,426
1608253200,2020-12-18 01:00:00,ETH/EUR,520.99,529.44,517.44,526.57,525.87,753.30758990,396669.17761364306,407
1608249600,2020-12-18 00:00:00,ETH/EUR,523.99,525.00,513.33,520.99,518.37,1016.03199430,529342.508710357,588
1608246000,2020-12-17 23:00:00,ETH/EUR,526.21,526.22,518.81,524.39,522.95,1202.42023184,630537.1453745776,610
1608242400,2020-12-17 22:00:00,ETH/EUR,521.66,529.45,521.53,526.41,525.56,4050.08919120,2132007.451139592,1011
1608238800,2020-12-17 21:00:00,ETH/EUR,522.41,523.15,511.23,521.78,516.18,5698.92272414,2973583.8990017693,2017
1608235200,2020-12-17 20:00:00,ETH/EUR,527.91,531.73,515.00,522.47,523.18,4980.90143105,2602371.5706806933,1971
1608231600,2020-12-17 19:00:00,ETH/EUR,534.84,537.66,524.45,527.90,532.48,6233.72247535,3290782.0947372653,1763
1608228000,2020-12-17 18:00:00,ETH/EUR,529.73,536.56,506.59,534.39,524.36,17172.74099465,9176941.060131013,5185
1608224400,2020-12-17 17:00:00,ETH/EUR,547.79,547.88,526.57,528.83,537.89,6531.00950829,3453793.758269001,2143
1608220800,2020-12-17 16:00:00,ETH/EUR,543.28,550.00,540.32,548.00,547.61,7215.06161361,3953853.76425828,2695
1608217200,2020-12-17 15:00:00,ETH/EUR,540.41,543.27,538.11,543.06,540.50,2298.75428724,1248361.5032285543,974
