https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume BTC,Volume EUR,tradecount
1496102400.0,2017-05-30,BTC/EUR,2041.04,2082.17,1893.92,1912.9,1912.9,25149.05,50767637.01,NULL
1496016000.0,2017-05-29,BTC/EUR,1892,2094.99,1856.51,2041.04,2041.04,23107.57,46016739.34,NULL
1495929600.0,2017-05-28,BTC/EUR,1793.84,2038.51,1787.16,1892,1892,22640.04,43193222.63,NULL
1495843200.0,2017-05-27,BTC/EUR,1978.87,2041.03,1652.67,1793.84,1793.84,37225.36,67656450.18,NULL
1495756800.0,2017-05-26,BTC/EUR,1984.56,2277.74,1834.32,1978.87,1978.87,38298.47,79387688.19,NULL
1495670400.0,2017-05-25,BTC/EUR,2117.99,2406.2,1932.08,1984.56,1984.56,39707.52,87338202.11,NULL
1495584000.0,2017-05-24,BTC/EUR,1992,2228.33,1981.84,2117.99,2117.99,28986.37,60913660.68,NULL
1495497600.0,2017-05-23,BTC/EUR,1852.77,2110.68,1817.66,1992,1992,19849.43,38501257.06,NULL
1495411200.0,2017-05-22,BTC/EUR,1801.73,1941.74,1757.4,1852.77,1852.77,28672.25,53620218.54,NULL
1495324800.0,2017-05-21,BTC/EUR,1804.99,1850,1780.26,1801.73,1801.73,12351.73,22363660.8,NULL
1495238400.0,2017-05-20,BTC/EUR,1750.1,1810,1741.33,1804.99,1804.99,10594.19,18765707.31,NULL
1495152000.0,2017-05-19,BTC/EUR,1703,1754.89,1681,1750.1,1750.1,16087.01,27824473.0,NULL
1495065600.0,2017-05-18,BTC/EUR,1649.97,1705,1638.87,1703,1703,13959.38,23371530.39,NULL
1494979200.0,2017-05-17,BTC/EUR,1609,1685,1598.51,1649.97,1649.97,16018.79,26496018.36,NULL
1494892800.0,2017-05-16,BTC/EUR,1600.94,1622,1563.57,1609,1609,12472.93,19853863.76,NULL
1494806400.0,2017-05-15,BTC/EUR,1641.32,1647.35,1551.38,1600.94,1600.94,16106.57,25650782.27,NULL
1494720000.0,2017-05-14,BTC/EUR,1638.23,1668,1608.47,1641.32,1641.32,10392.73,17027937.92,NULL
1494633600.0,2017-05-13,BTC/EUR,1558.18,1642.82,1480.36,1638.23,1638.23,16766.24,26308690.58,NULL
1494547200.0,2017-05-12,BTC/EUR,1690.1,1695.92,1505.64,1558.18,1558.18,25491.61,40817337.41,NULL
1494460800.0,2017-05-11,BTC/EUR,1636.38,1731.29,1610.27,1690.1,1690.1,19747.99,33317489.42,NULL
1494374400.0,2017-05-10,BTC/EUR,1571.34,1647.23,1543.66,1636.38,1636.38,16613.41,26744873.19,NULL
1494288000.0,2017-05-09,BTC/EUR,1510,1615,1494,1571.34,1571.34,23906.16,37544835.32,NULL
1494201600.0,2017-05-08,BTC/EUR,1415.17,1510,1413.43,1510,1510,18979.92,27938670.37,NULL
1494115200.0,2017-05-07,BTC/EUR,1403.78,1419.8,1385,1415.17,1415.17,9613.39,13467278.55,NULL
1494028800.0,2017-05-06,BTC/EUR,1374.3,1411.12,1370.84,1403.78,1403.78,7651.93,10688916.16,NULL
1493942400.0,2017-05-05,BTC/EUR,1383.23,1446.75,1354.03,1374.3,1374.3,21316.87,29953563.72,NULL
1493856000.0,2017-05-04,BTC/EUR,1377.39,1475,1296.41,1383.23,1383.23,27759.44,38832350.12,NULL
1493769600.0,2017-05-03,BTC/EUR,1318,1385.99,1221.93,1377.39,1377.39,13165.58,17702506.11,NULL
1493683200.0,2017-05-02,BTC/EUR,1252.49,1339,1248.74,1318,1318,15548.04,20290675.6,NULL
1493596800.0,2017-05-01,BTC/EUR,1223.99,1290,1215,1252.49,1252.49,14881.04,18590952.69,NULL
1493510400.0,2017-04-30,BTC/EUR,1210.62,1224.5,1194.78,1223.99,1223.99,7309.21,8838850.39,NULL
1493424000.0,2017-04-29,BTC/EUR,1210,1219.18,1200.76,1210.62,1210.62,6057.32,7335553.9,NULL
1493337600.0,2017-04-28,BTC/EUR,1213,1223.99,1179.95,1210,1210,11825.96,14261218.91,NULL
1493251200.0,2017-04-27,BTC/EUR,1181.87,1224.57,1175.51,1213,1213,10761.81,12951449.93,NULL
1493164800.0,2017-04-26,BTC/EUR,1168.86,1199.8,1161.1,1181.87,1181.87,8921.86,10550772.77,NULL
1493078400.0,2017-04-25,BTC/EUR,1155.05,1174,1152.75,1168.86,1168.86,6396.36,7443827.23,NULL
1492992000.0,2017-04-24,BTC/EUR,1143.43,1159,1141.16,1155.05,1155.05,5277.62,6066456.68,NULL
1492905600.0,2017-04-23,BTC/EUR,1150.02,1157.99,1139.41,1143.43,1143.43,4939.41,5673979.14,NULL
1492819200.0,2017-04-22,BTC/EUR,1158.37,1158.99,1122.48,1150.02,1150.02,5742.4,6575265.57,NULL
1492732800.0,2017-04-21,BTC/EUR,1152.99,1166,1148.55,1158.37,1158.37,6520.09,7555188.12,NULL
1492646400.0,2017-04-20,BTC/EUR,1127.87,1158,1119.59,1152.99,1152.99,9438.67,10761675.64,NULL
1492560000.0,2017-04-19,BTC/EUR,1121,1130.49,1115.18,1127.87,1127.87,6020.79,6761388.05,NULL
1492473600.0,2017-04-18,BTC/EUR,1115.6,1133.74,1111.32,1121,1121,5510.36,6202045.12,NULL
1492387200.0,2017-04-17,BTC/EUR,1109.15,1130.05,1104.8,1115.6,1115.6,5179.01,5781503.75,NULL
1492300800.0,2017-04-16,BTC/EUR,1096.99,1114.1,1095,1109.15,1109.15,2534.68,2806945.95,NULL
1492214400.0,2017-04-15,BTC/EUR,1111.46,1120,1092.1,1096.99,1096.99,4664.71,5176302.93,NULL
1492128000.0,2017-04-14,BTC/EUR,1103,1121,1093,1111.46,1111.46,6603.21,7324013.51,NULL
1492041600.0,2017-04-13,BTC/EUR,1137.56,1141.99,1080.2,1103,1103,12827.91,14210184.41,NULL
1491955200.0,2017-04-12,BTC/EUR,1149.42,1155,1133.74,1137.56,1137.56,6081.52,6961094.42,NULL
1491868800.0,2017-04-11,BTC/EUR,1132.99,1159.51,1126.46,1149.42,1149.42,6252.58,7152132.72,NULL
1491782400.0,2017-04-10,BTC/EUR,1131.07,1145,1128.09,1132.99,1132.99,5530.83,6291046.21,NULL
1491696000.0,2017-04-09,BTC/EUR,1113.82,1142.5,1105.78,1131.07,1131.07,6366.01,7174978.4,NULL
1491609600.0,2017-04-08,BTC/EUR,1124,1129.98,1097.01,1113.82,1113.82,4905.45,5471887.4,NULL
1491523200.0,2017-04-07,BTC/EUR,1128.54,1140,1106.64,1124,1124,9727.96,10929527.62,NULL
1491436800.0,2017-04-06,BTC/EUR,1060,1141.73,1060,1128.54,1128.54,15242.05,16797500.05,NULL
1491350400.0,2017-04-05,BTC/EUR,1064.72,1069.99,1040.96,1060,1060,8953.34,9448137.72,NULL
1491264000.0,2017-04-04,BTC/EUR,1073.99,1089.34,1050,1064.72,1064.72,10558.71,11291942.38,NULL
1491177600.0,2017-04-03,BTC/EUR,1030.6,1084.27,1027.68,1073.99,1073.99,12452.96,13237296.84,NULL
1491091200.0,2017-04-02,BTC/EUR,1019.46,1040,1007.11,1030.6,1030.6,7977.78,8196533.07,NULL
1491004800.0,2017-04-01,BTC/EUR,1006.99,1033.5,995.26,1019.46,1019.46,8221.56,8335401.53,NULL
1490918400.0,2017-03-31,BTC/EUR,965.46,1013.25,965.33,1006.99,1006.99,14220.39,14072637.91,NULL
1490832000.0,2017-03-30,BTC/EUR,962,970.75,950,965.46,965.46,8949.84,8595800.57,NULL
1490745600.0,2017-03-29,BTC/EUR,958,975.61,918.93,962,962,11551.6,10979608.41,NULL
1490659200.0,2017-03-28,BTC/EUR,952.99,975,932.78,958,958,14448.41,13824540.65,NULL
1490572800.0,2017-03-27,BTC/EUR,882.89,957.66,874.22,952.99,952.99,14484.88,13383634.55,NULL
1490486400.0,2017-03-26,BTC/EUR,876.17,922.01,861.24,882.89,882.89,13291.05,11849344.41,NULL
1490400000.0,2017-03-25,BTC/EUR,856.95,886.26,815.82,876.17,876.17,22043.29,18737461.82,NULL
1490313600.0,2017-03-24,BTC/EUR,951.51,954.4,845,856.95,856.95,22537.21,20263713.82,NULL
1490227200.0,2017-03-23,BTC/EUR,956.2,976.11,935.65,951.51,951.51,9480.48,9091165.02,NULL
1490140800.0,2017-03-22,BTC/EUR,1022.99,1027,911,956.2,956.2,21028.17,20256086.27,NULL
1490054400.0,2017-03-21,BTC/EUR,954.83,1030,951.52,1022.99,1022.99,15448.35,15522134.82,NULL
1489968000.0,2017-03-20,BTC/EUR,942.7,977.01,925.72,954.83,954.83,14117.59,13487283.27,NULL
1489881600.0,2017-03-19,BTC/EUR,879.13,984.42,876.77,942.7,942.7,18772.89,17522426.46,NULL
1489795200.0,2017-03-18,BTC/EUR,991.26,1017.66,850,879.13,879.13,35001.18,32424968.0,NULL
1489708800.0,2017-03-17,BTC/EUR,1074.19,1074.97,975,991.26,991.26,27087.83,27740984.88,NULL
1489622400.0,2017-03-16,BTC/EUR,1169.98,1169.98,1010,1074.19,1074.19,23885.41,26358351.83,NULL
1489536000.0,2017-03-15,BTC/EUR,1164.33,1179.5,1160,1169.98,1169.98,6975.75,8159201.52,NULL
1489449600.0,2017-03-14,BTC/EUR,1153.61,1178,1140.54,1164.33,1164.33,7316.84,8504681.86,NULL
1489363200.0,2017-03-13,BTC/EUR,1146.44,1162.41,1126.1,1153.61,1153.61,11847.11,13585979.94,NULL
1489276800.0,2017-03-12,BTC/EUR,1104.38,1159.51,1100.94,1146.44,1146.44,7890.68,8927583.75,NULL
1489190400.0,2017-03-11,BTC/EUR,1044.12,1128.96,1032.42,1104.38,1104.38,12299.05,13441069.17,NULL
1489104000.0,2017-03-10,BTC/EUR,1126.31,1227.45,952.93,1044.12,1044.12,31264.45,34613676.7,NULL
1489017600.0,2017-03-09,BTC/EUR,1066.22,1137.72,1059.83,1126.31,1126.31,11805.5,13118097.49,NULL
1488931200.0,2017-03-08,BTC/EUR,1164.4,1173.33,1063,1066.22,1066.22,18466.09,20659114.8,NULL
1488844800.0,2017-03-07,BTC/EUR,1208.25,1208.9,1128.01,1164.4,1164.4,14331.97,16743139.92,NULL
1488758400.0,2017-03-06,BTC/EUR,1191.69,1213,1184.71,1208.25,1208.25,4792.24,5772448.95,NULL
1488672000.0,2017-03-05,BTC/EUR,1188,1197.1,1167.5,1191.69,1191.69,3740.99,4430874.26,NULL
1488585600.0,2017-03-04,BTC/EUR,1209.73,1209.99,1157.77,1188,1188,7192.67,8528995.24,NULL
1488499200.0,2017-03-03,BTC/EUR,1192.5,1225,1180.62,1209.73,1209.73,11012.99,13270399.38,NULL
1488412800.0,2017-03-02,BTC/EUR,1154.3,1200.09,1140.55,1192.5,1192.5,10633.84,12518400.95,NULL
1488326400.0,2017-03-01,BTC/EUR,1117.88,1164,1114.1,1154.3,1154.3,8136.18,9306837.58,NULL
1488240000.0,2017-02-28,BTC/EUR,1123.39,1134.22,1109.5,1117.88,1117.88,7327.56,8208853.43,NULL
1488153600.0,2017-02-27,BTC/EUR,1108,1125,1104.45,1123.39,1123.39,5671.7,6338728.02,NULL
1488067200.0,2017-02-26,BTC/EUR,1089.34,1118.25,1073.14,1108,1108,5824.56,6416397.53,NULL
