https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume ADA,Volume EUR,tradecount
1608544800,2020-12-21 10:00:00,ADA/EUR,0.130712,0.131103,0.124002,0.124874,0.126495,3447868.31183430,430549.10757199634,886
1608541200,2020-12-21 09:00:00,ADA/EUR,0.130870,0.131907,0.130000,0.130869,0.130637,652421.00701803,85381.68476744258,217
1608537600,2020-12-21 08:00:00,ADA/EUR,0.133701,0.134011,0.130745,0.131099,0.132004,429756.78725207,56340.68505195912,140
1608534000,2020-12-21 07:00:00,ADA/EUR,0.134176,0.134306,0.133000,0.133722,0.133696,360787.82795562,48245.26992988142,125
1608530400,2020-12-21 06:00:00,ADA/EUR,0.134138,0.134138,0.133333,0.134036,0.133879,269632.73128137,36140.492770029705,71
1608526800,2020-12-21 05:00:00,ADA/EUR,0.134785,0.134785,0.134070,0.134339,0.134334,19192.30624786,2578.275229031264,10
1608523200,2020-12-21 04:00:00,ADA/EUR,0.132957,0.135633,0.132957,0.134247,0.134347,136727.40413695,18355.24382317313,91
1608519600,2020-12-21 03:00:00,ADA/EUR,0.132887,0.133430,0.132147,0.132506,0.132735,93512.00354790,12390.90154211804,37
1608516000,2020-12-21 02:00:00,ADA/EUR,0.132617,0.133401,0.132613,0.132622,0.132858,265665.00602719,35233.024429337995,61
1608512400,2020-12-21 01:00:00,ADA/EUR,0.133000,0.133052,0.132483,0.133000,0.132853,35399.90551984,4708.18743413872,17
1608508800,2020-12-21 00:00:00,ADA/EUR,0.132000,0.134194,0.130892,0.132726,0.132847,129812.53112189,17229.498005683974,81
1608505200,2020-12-20 23:00:00,ADA/EUR,0.131300,0.132608,0.131185,0.132160,0.131781,426527.31742965,56369.850271502546,133
1608501600,2020-12-20 22:00:00,ADA/EUR,0.133015,0.133219,0.128000,0.131280,0.130527,2103716.17396021,276175.85931749636,574
1608498000,2020-12-20 21:00:00,ADA/EUR,0.136859,0.137208,0.133150,0.133150,0.135758,613792.15367984,81726.4252624707,177
1608494400,2020-12-20 20:00:00,ADA/EUR,0.134211,0.136839,0.133956,0.136838,0.135223,598104.55470103,81843.43105617954,154
1608490800,2020-12-20 19:00:00,ADA/EUR,0.135073,0.135073,0.134102,0.134211,0.134429,137100.84919216,18400.442070928988,65
1608487200,2020-12-20 18:00:00,ADA/EUR,0.134774,0.135483,0.134363,0.135038,0.134786,86696.15823932,11707.275816321293,74
1608483600,2020-12-20 17:00:00,ADA/EUR,0.135819,0.135948,0.134646,0.134910,0.134927,513937.15096569,69335.26103678123,91
1608480000,2020-12-20 16:00:00,ADA/EUR,0.135405,0.136208,0.134531,0.135891,0.135303,135688.76849557,18438.882439631503,92
1608476400,2020-12-20 15:00:00,ADA/EUR,0.134133,0.136100,0.134133,0.134770,0.135549,500457.68914189,67446.68276565251,192
1608472800,2020-12-20 14:00:00,ADA/EUR,0.133259,0.134557,0.133192,0.134155,0.134087,309519.90961196,41523.643473992495,73
1608469200,2020-12-20 13:00:00,ADA/EUR,0.133038,0.133306,0.131954,0.133258,0.132724,188201.92054429,25079.411527890996,71
1608465600,2020-12-20 12:00:00,ADA/EUR,0.133984,0.134030,0.132340,0.132983,0.132915,289715.51357051,38527.23814114713,85
1608462000,2020-12-20 11:00:00,ADA/EUR,0.133626,0.134202,0.133387,0.133943,0.133782,250131.76934693,33503.399581635844,119
1608458400,2020-12-20 10:00:00,ADA/EUR,0.135339,0.135472,0.133333,0.133619,0.134945,1314511.56516238,175643.72082543204,132
