https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume ADA,Volume EUR,tradecount
1601856000,2020-10-05 00:00:00,ADA/EUR,0.082793,0.084709,0.081567,0.082695,0.082897,3830211.22748652,316739.3174569978,851
1601769600,2020-10-04 00:00:00,ADA/EUR,0.079873,0.083737,0.078911,0.082747,0.081720,4903323.74592590,405735.33000413043,731
1601683200,2020-10-03 00:00:00,ADA/EUR,0.079446,0.081445,0.079237,0.079819,0.080303,2946651.70958491,235198.79280735794,637
1601596800,2020-10-02 00:00:00,ADA/EUR,0.083500,0.085566,0.076639,0.079334,0.079634,10495893.20374268,832681.1914257217,2133
1601510400,2020-10-01 00:00:00,ADA/EUR,0.086465,0.089089,0.080831,0.083317,0.084557,10273754.45596205,855978.4000073902,1698
1601424000,2020-09-30 00:00:00,ADA/EUR,0.086196,0.086813,0.082726,0.086327,0.085082,5636348.71661331,486569.07565907727,1091
1601337600,2020-09-29 00:00:00,ADA/EUR,0.083343,0.083343,0.083343,0.083343,0.000000,0.00000000,0.0,0
1601251200,2020-09-28 00:00:00,ADA/EUR,0.083343,0.083343,0.083343,0.083343,0.000000,0.00000000,0.0,0
1601164800,2020-09-27 00:00:00,ADA/EUR,0.083343,0.083343,0.083343,0.083343,0.000000,0.00000000,0.0,0
1601078400,2020-09-26 00:00:00,ADA/EUR,0.083343,0.083343,0.083343,0.083343,0.000000,0.00000000,0.0,0
1600992000,2020-09-25 00:00:00,ADA/EUR,0.070911,0.084652,0.070683,0.083343,0.079467,19028735.40372779,1585911.894752885,3537
1600905600,2020-09-24 00:00:00,ADA/EUR,0.065783,0.071730,0.064960,0.070784,0.068970,4752529.56755813,336403.05291003466,1189
1600819200,2020-09-23 00:00:00,ADA/EUR,0.069739,0.070833,0.064903,0.065838,0.067527,7457423.04013572,490981.81811645546,1447
1600732800,2020-09-22 00:00:00,ADA/EUR,0.068093,0.071220,0.067454,0.069655,0.069567,5799381.86941247,403955.94411392557,1094
1600646400,2020-09-21 00:00:00,ADA/EUR,0.075537,0.076222,0.066200,0.068000,0.069579,10307135.92045704,700885.2425910789,2459
1600560000,2020-09-20 00:00:00,ADA/EUR,0.077032,0.077960,0.074289,0.075492,0.075963,4200241.82620792,317084.6559440883,908
1600473600,2020-09-19 00:00:00,ADA/EUR,0.076926,0.078787,0.076684,0.077401,0.077416,2306135.44022137,178497.18920857427,462
1600387200,2020-09-18 00:00:00,ADA/EUR,0.079601,0.079601,0.076073,0.077025,0.077454,3367744.05342479,259400.48571504443,806
1600300800,2020-09-17 00:00:00,ADA/EUR,0.077631,0.080466,0.077221,0.079597,0.078568,4831137.64407313,384544.0630552889,935
1600214400,2020-09-16 00:00:00,ADA/EUR,0.078817,0.078944,0.075852,0.077493,0.077110,4356287.62606173,337581.7970064017,1349
1600128000,2020-09-15 00:00:00,ADA/EUR,0.081615,0.082500,0.078574,0.078842,0.080419,2786742.69240426,219712.36735453666,834
1600041600,2020-09-14 00:00:00,ADA/EUR,0.080471,0.082555,0.079000,0.081617,0.081308,5328563.11105486,434901.3354349645,860
1599955200,2020-09-13 00:00:00,ADA/EUR,0.082704,0.084338,0.078386,0.080394,0.081079,5886586.25616570,473246.2154781853,1146
1599868800,2020-09-12 00:00:00,ADA/EUR,0.081976,0.083199,0.080267,0.082624,0.081998,4463158.56866184,368764.01357711584,1129
1599782400,2020-09-11 00:00:00,ADA/EUR,0.082282,0.082607,0.078788,0.082034,0.080861,5915182.88484524,485246.1127753944,1181
1599696000,2020-09-10 00:00:00,ADA/EUR,0.079272,0.084157,0.079177,0.082005,0.082196,12354812.55215999,1013156.4033398798,2009
1599609600,2020-09-09 00:00:00,ADA/EUR,0.077428,0.081194,0.076000,0.079222,0.078778,5742779.66919885,454954.49095327134,1283
1599523200,2020-09-08 00:00:00,ADA/EUR,0.079391,0.082238,0.075487,0.077560,0.078522,12973296.40662320,1006208.8692976955,1915
1599436800,2020-09-07 00:00:00,ADA/EUR,0.078623,0.079920,0.073016,0.079141,0.076147,14393412.66535203,1139109.071748625,2280
1599350400,2020-09-06 00:00:00,ADA/EUR,0.076180,0.081000,0.072365,0.078458,0.077677,13932905.71685217,1093147.9167327876,2189
1599264000,2020-09-05 00:00:00,ADA/EUR,0.086209,0.087968,0.072491,0.075968,0.078243,14499809.60442595,1101521.5360290306,2801
1599177600,2020-09-04 00:00:00,ADA/EUR,0.080334,0.088140,0.078187,0.086366,0.083202,23117185.13088295,1996538.8110138366,4096
1599091200,2020-09-03 00:00:00,ADA/EUR,0.097366,0.098961,0.079000,0.080569,0.089819,19846596.54187202,1599020.436782087,4308
1599004800,2020-09-02 00:00:00,ADA/EUR,0.105222,0.105944,0.094051,0.097085,0.098353,17374399.71365794,1686793.5962004813,3076
1598918400,2020-09-01 00:00:00,ADA/EUR,0.102782,0.107407,0.100000,0.104254,0.103844,10305238.45038583,1074362.3294065243,2788
1598832000,2020-08-31 00:00:00,ADA/EUR,0.098729,0.106502,0.095349,0.102398,0.101858,19093698.86300886,1955156.5761743814,3658
1598745600,2020-08-30 00:00:00,ADA/EUR,0.098116,0.099989,0.096000,0.098273,0.097737,7649304.30263068,751720.0817324248,1617
1598659200,2020-08-29 00:00:00,ADA/EUR,0.091948,0.099697,0.091161,0.098277,0.096137,8322383.20422958,817898.8541620704,1778
1598572800,2020-08-28 00:00:00,ADA/EUR,0.090700,0.094044,0.090074,0.092038,0.092267,10159150.86277867,935027.9271084231,1693
1598486400,2020-08-27 00:00:00,ADA/EUR,0.096749,0.097716,0.086780,0.090700,0.091499,22386311.67583899,2030438.4689985963,3476
1598400000,2020-08-26 00:00:00,ADA/EUR,0.095240,0.101610,0.093446,0.096743,0.097311,22128754.87994464,2140802.1333504845,3044
1598313600,2020-08-25 00:00:00,ADA/EUR,0.105000,0.105202,0.089000,0.095217,0.097077,31812900.33683367,3029128.9313722914,5158
1598227200,2020-08-24 00:00:00,ADA/EUR,0.103011,0.107500,0.102012,0.105120,0.105810,6395289.00140551,672272.7798277473,1581
1598140800,2020-08-23 00:00:00,ADA/EUR,0.106414,0.106801,0.101540,0.103241,0.103660,5332945.20834403,550578.596254646,1435
1598054400,2020-08-22 00:00:00,ADA/EUR,0.104692,0.107293,0.101000,0.106410,0.104047,10269710.92576810,1092799.9396109835,1858
